name,address,lat,lng,category,,
도곡지구대,서울특별시 강남구 언주로426 (공중화장실),37.483426 ,127.047081 ,1,,
개포파출소,서울특별시 강남구 개포로261 (공중화장실),37.477116 ,127.051886 ,1,,
일원파출소,서울특별시 강남구 일원로3길 35 (공중화장실),37.489001 ,127.105281 ,1,,
세곡동공중화장실(기존),서울특별시 강남구 헌릉로 649 (공중화장실),37.473306 ,127.099728 ,1,,
세곡동공중화장실(신설),서울특별시 강남구 헌릉로 621 (공중화장실),37.516972 ,127.022706 ,1,,
압구정동주민센터,서울특별시 강남구 압구정로33길 48 (공중화장실),37.498288 ,127.030103 ,1,,
강남운전면허시험장,서울특별시 강남구 테헤란로114길 23 (공중화장실),37.523539 ,127.038172 ,1,,
일원2동주민센터,서울특별시 강남구 개포로 607 (공중화장실),37.486138 ,127.042416 ,1,,
강남수도사업소,서울특별시 강남구 양재천로 199 (공중화장실),37.519099 ,127.046441 ,1,,
강남구민체육관,서울특별시 강남구 개포로28길 47 (공중화장실),37.527297 ,127.035756 ,1,,
강남스포츠문화센터,서울특별시 강남구 밤고개로1길 52 (공중화장실),37.499955 ,127.066977 ,1,,
못골한옥어린이도서관화장실,서울특별시 강남구 자곡로 7길 3 (공중화장실),37.508490 ,127.026223 ,1,,
국민연금공단,서울특별시 강남구 도산대로 128 (공중화장실),37.510313 ,127.046380 ,1,,
삼성세무서,"서울특별시 강남구 테헤란로 114, 5층,6층 (공중화장실)",37.475817 ,127.052046 ,1,,
압구정노인복지센터,서울특별시 강남구 도산대로53길 5 (공중화장실),37.486322 ,127.036793 ,1,,
매봉산 실내배드민턴장,서울특별시 강남구 남부순환로 2711 (공중화장실),37.499511 ,127.054466 ,1,,
청담평생학습관,서울특별시 강남구 학동로 67길 11 (공중화장실),37.494915 ,127.079318 ,1,,
압구정평생학습관,서울특별시 강남구 언주로 172길 26 (공중화장실),37.493148 ,127.087767 ,1,,
대치평생학습관,서울특별시 강남구 영동대로 57길 7 (공중화장실),37.504956 ,127.068203 ,1,,
논현초교 공영노외주차장,서울특별시 강남대로120길 33 (공중화장실),37.528354 ,127.032639 ,1,,
강남웰에이징센터 공영노외주차장,서울특별시 선릉로108길 27 (공중화장실),37.510279 ,127.066830 ,1,,
